Title,Genre,Premiere,Runtime,IMDB Score,Language
What We Wanted,Drama,11-Nov-20,93,5.8,German
Ludo,Anthology/Dark comedy,12-Nov-20,149,7.6,Hindi
The Life Ahead,Drama,13-Nov-20,95,6.8,Italian
Jingle Jangle: A Christmas Journey,Family/Christmas musical,13-Nov-20,119,6.5,English
The Princess Switch: Switched Again,Romantic comedy,19-Nov-20,97,5.4,English
If Anything Happens I Love You,Animation / Short,20-Nov-20,12,7.8,English
Alien Xmas,Stop Motion,20-Nov-20,42,6.2,English
Dolly Parton's Christmas on the Square,Christmas musical,22-Nov-20,98,5.2,English
Shawn Mendes: In Wonder,Documentary,23-Nov-20,83,6.6,English
Hillbilly Elegy,Drama,24-Nov-20,117,6.7,English
Notes for My Son,Drama,24-Nov-20,83,6.3,Spanish
Shawn Mendes: Live in Concert,Concert Film,25-Nov-20,87,7.4,English
The Christmas Chronicles: Part Two,Christmas comedy,25-Nov-20,115,6,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,27-Nov-20,80,7.1,English
The Beast,Drama,27-Nov-20,99,5.2,Italian
The Call,Drama,27-Nov-20,112,4.1,Korean
Finding Agnes,Drama,30-Nov-20,105,4.7,Filipino
Angela's Christmas Wish,Animation,1-Dec-20,47,7.1,English
Just Another Christmas,Comedy,3-Dec-20,101,6.7,Portuguese
Mank,Biopic,4-Dec-20,132,6.9,English
Christmas Crossfire,Thriller,4-Dec-20,106,4.8,German
Leyla Everlasting,Comedy,4-Dec-20,112,3.7,Turkish
The Claus Family,Fantasy,7-Dec-20,96,5.8,Dutch
Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-20,89,8.6,Portuguese
Rose Island,Comedy,9-Dec-20,117,7,Italian
Giving Voice,Documentary,11-Dec-20,90,6.7,English
Canvas ,Animation / Short,11-Dec-20,9,6.5,English
The Prom,Musical,11-Dec-20,132,5.9,English
A California Christmas,Romantic comedy,14-Dec-20,107,5.8,English
Ma Rainey's Black Bottom,Drama,18-Dec-20,94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,18-Dec-20,31,7,English
"Ariana Grande: Excuse Me, I Love You",Concert Film,21-Dec-20,97,6.4,English
The Midnight Sky,Science fiction,23-Dec-20,118,5.6,English
AK vs AK,Thriller,24-Dec-20,108,6.9,Hindi
We Can Be Heroes,Superhero,25-Dec-20,100,4.7,English
Death to 2020,Comedy,27-Dec-20,70,6.8,English
Cops and Robbers,Animation / Short,28-Dec-20,7,6.9,English
The Minimalists: Less Is Now,Documentary,1-Jan-21,53,5.9,English
What Happened to Mr. Cha?,Comedy,1-Jan-21,102,4.3,Korean
Tony Parker: The Final Shot,Documentary,6-Jan-21,98,6.8,French
Pieces of a Woman,Drama,7-Jan-21,126,7.1,English
Stuck Apart,Drama,8-Jan-21,96,6.1,Turkish
"Crack: Cocaine, Corruption & Conspiracy",Documentary,11-Jan-21,89,6.7,English
The Heartbreak Club,Comedy-drama,14-Jan-21,101,6.4,Indonesian
What Would Sophia Loren Do?,Documentary,15-Jan-21,32,6.6,English
Tribhanga � Tedhi Medhi Crazy,Drama,15-Jan-21,95,6.1,Hindi
Double Dad,Comedy-drama,15-Jan-21,103,5.6,Portuguese
Outside the Wire,Action/Science fiction,15-Jan-21,114,5.4,English
The White Tiger,Drama,22-Jan-21,125,7.1,English
June & Kopi,Drama,28-Jan-21,90,6.3,Indonesian
The Dig,Drama,29-Jan-21,112,7.1,English
Below Zero,Drama,29-Jan-21,106,6.2,Spanish
Finding 'Ohana,Family,29-Jan-21,123,6.1,English
Malcolm & Marie,Romantic drama,5-Feb-21,106,6.7,English
Space Sweepers,Science fiction,5-Feb-21,136,6.6,Korean
The Last Paradiso,Romantic drama,5-Feb-21,107,5.6,Italian
"Strip Down, Rise Up",Documentary,5-Feb-21,112,5.2,English
The Misadventures of Hedi and Cokeman,Comedy,10-Feb-21,99,4.5,French
Layla Majnun,Romantic drama,11-Feb-21,119,6.4,Indonesian
Red Dot,Thriller,11-Feb-21,86,5.5,Swedish
Squared Love,Romantic comedy,11-Feb-21,102,5,Polish
To All the Boys: Always and Forever,Romantic comedy,12-Feb-21,109,6.3,English
Pele,Documentary,23-Feb-21,108,7,English
Geez & Ann,Romantic drama,25-Feb-21,105,5.1,Indonesian
Crazy About Her,Romantic comedy,26-Feb-21,102,6.6,Spanish
The Girl on the Train,Thriller,26-Feb-21,120,4.4,Hindi
Biggie: I Got a Story to Tell,Documentary,1-Mar-21,97,6.9,English
Moxie,Drama,3-Mar-21,111,6.7,English
Sentinelle,Action,5-Mar-21,80,4.7,French
Paper Lives,Drama,12-Mar-21,97,6.7,Turkish
Yes Day,Comedy,12-Mar-21,86,5.7,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,17-Mar-21,99,7,English
Get the Goat,Comedy,18-Mar-21,97,6.3,Portuguese
Seaspiracy,Documentary,24-Mar-21,89,8.2,English
Caught by a Wave,Romantic teen drama,25-Mar-21,99,5.7,Italian
Pagglait,Comedy-drama,26-Mar-21,114,6.9,Hindi
Bad Trip,Hidden-camera prank comedy,26-Mar-21,86,6.6,English
A Week Away,Christian musical,26-Mar-21,97,5.7,English
Milestone,Drama,7-May-21,98,6.6,Hindi
Monster,Drama,7-May-21,98,6.5,English
Oxygen,Science fiction thriller,12-May-21,101,6.5,French
Ferry,Crime drama,14-May-21,106,7.1,Dutch
I Am All Girls,Thriller,14-May-21,107,5.8,English
The Woman in the Window,Psychological thriller,14-May-21,100,5.7,English
Sardar Ka Grandson,Comedy,18-May-21,139,4.1,Hindi
Army of the Dead,Zombie/Heist,21-May-21,148,5.9,English
Nail Bomber: Manhunt,Documentary,26-May-21,72,6.3,English
Baggio: The Divine Ponytail,Biopic,26-May-21,92,6.2,Italian
Ghost Lab,Horror,26-May-21,117,5.2,Thai
Blue Miracle,Drama,27-May-21,95,6.7,English
Tersanjung the Movie,Drama,"April 1, 2021",114,6.1,Indonesian
LA Originals,Documentary,"April 10, 2020",92,7.2,English
Tigertail,Drama,"April 10, 2020",91,6.5,English/Taiwanese/Mandarin
Love Wedding Repeat,Romantic comedy,"April 10, 2020",100,5.5,English
The Main Event,Comedy,"April 10, 2020",101,4.8,English
The Perfect Date,Romantic comedy,"April 12, 2019",89,5.8,English
Who Would You Take to a Deserted Island?,Drama,"April 12, 2019",93,5.3,Spanish
I Am Not an Easy Man,Romantic comedy,"April 13, 2018",98,6.3,French
Come Sunday,Biopic,"April 13, 2018",106,6,English
Sandy Wexler,Comedy,"April 14, 2017",131,5.2,English
Prime Time,Thriller,"April 14, 2021",91,5.7,Polish
Why Did You Kill Me?,Documentary,"April 14, 2021",83,5.6,English
Ride or Die,Psychological thriller drama,"April 15, 2021",142,5.5,Japanese
Ajeeb Daastaans,Drama,"April 16, 2021",142,6.7,Hindi
Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92,6.7,English
Homecoming: A Film by Beyonce ,Documentary,"April 17, 2019",137,7.5,English
Sergio,Biopic,"April 17, 2020",118,6.1,English
Rising High,Satire,"April 17, 2020",94,5.8,German
Earth and Blood,Action,"April 17, 2020",80,4.9,French
Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,English
Brene Brown: The Call to Courage,Documentary,"April 19, 2019",76,7.7,English
Music Teacher,Drama,"April 19, 2019",101,6.3,Hindi
Someone Great,Romantic comedy,"April 19, 2019",92,6.2,English
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English
Concrete Cowboy,Drama,"April 2, 2021",111,6.3,English
Madame Claude,Drama,"April 2, 2021",112,5.4,French
Just Say Yes,Romantic comedy,"April 2, 2021",97,4.5,Dutch
Mercury 13,Documentary,"April 20, 2018",79,6.8,English
Dude,Teen comedy-drama,"April 20, 2018",97,5.1,English
Grass Is Greener,Documentary,"April 20, 2019",97,7.1,English
Tramps,Romance,"April 21, 2017",83,6.5,English
Sand Castle,War,"April 21, 2017",113,6.3,English
Circus of Books,Documentary,"April 22, 2020",92,7.1,English
The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020",90,6.4,English
Searching for Sheela,Documentary,"April 22, 2021",58,4.1,English
Time to Hunt,Thriller,"April 23, 2020",134,6.3,Korean
Extraction,Action,"April 24, 2020",117,6.7,English
ReMastered: Devil at the Crossroads,Documentary,"April 26, 2019",48,7,English
The Rachel Divide,Documentary,"April 27, 2018",104,6.2,English
Candy Jar,Comedy,"April 27, 2018",92,5.8,English
The Week Of,Comedy,"April 27, 2018",116,5.2,English
Casting JonBenet,Documentary,"April 28, 2017",80,6.1,English
Rodney King,One-man show,"April 28, 2017",52,5.8,English
Small Crimes,Dark comedy,"April 28, 2017",95,5.8,English
Get the Grift,Comedy,"April 28, 2021",94,5.5,Portuguese
Team Foxcatcher,Documentary,"April 29, 2016",90,7.3,English/Russian
Special Correspondents,Satire,"April 29, 2016",100,5.8,English
A Secret Love,Documentary,"April 29, 2020",82,7.9,English
Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,English
Things Heard & Seen,Horror,"April 29, 2021",121,5.3,English
Coffee & Kareem,Action comedy,"April 3, 2020",88,5.1,English
Rich in Love,Romantic comedy,"April 30, 2020",105,5.8,Portuguese
Dangerous Lies,Thriller,"April 30, 2020",97,5.3,English
The Disciple,Drama,"April 30, 2021",129,7.2,Marathi
Unicorn Store,Comedy,"April 5, 2019",92,5.5,English
"Ram Dass, Going Home",Documentary,"April 6, 2018",31,7.1,English
6 Balloons,Drama,"April 6, 2018",75,5.9,English
Amateur,Sports-drama,"April 6, 2018",96,5.9,English
Win It All,Comedy,"April 7, 2017",88,6.2,English
Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55,6.5,English
Night in Paradise,Drama,"April 9, 2021",132,6.7,Korean
Have You Ever Seen Fireflies?,Comedy,"April 9, 2021",114,6.2,Turkish
Thunder Force,Superhero-Comedy,"April 9, 2021",105,4.4,English
Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,English
Ghosts of Sugar Land,Documentary,October 16. 2019,21,5.5,English
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
Strong Island,Documentary,September 15. 2017,107,6.4,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
